SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,Fragments,chemval,chem_violation
OC(C#CC(C#CC#C)(O)C)(O)O,180.042258736,4,4,-1.9919000000000002,True,False,['C#CC#CC(C)(O)C#CC(O)(O)O'],False,Geminal diol/triol
CC(C#CC(C#CC#C)(O)O)(O)O,180.042258736,4,4,-1.9919000000000002,True,False,['C#CC#CC(O)(O)C#CC(C)(O)O'],False,Geminal diol/triol
OC(C#CC#C)(O)OC(C#C)(O)C,180.042258736,4,3,-1.3803000000000003,True,False,"['[4*]C(O)(O)C#CC#C', '[4*]C(C)(O)C#C', '[3*]O[3*]']",False,Geminal diol/triol
CC(C#CC#C)(O)OC(C#C)(O)O,180.042258736,4,3,-1.3803,True,False,"['[4*]C(O)(O)C#C', '[4*]C(C)(O)C#CC#C', '[3*]O[3*]']",False,Geminal diol/triol
OC(C#CC#C)(O)CC(C#C)(O)O,180.042258736,4,4,-1.9919000000000002,True,False,['C#CC#CC(O)(O)CC(O)(O)C#C'],False,Geminal diol/triol
OC(C#CC#CC(C#C)(O)C)(O)O,180.042258736,4,4,-1.9919000000000002,True,False,['C#CC(C)(O)C#CC#CC(O)(O)O'],False,Geminal diol/triol
CC(C#CC#CC(C#C)(O)O)(O)O,180.042258736,4,4,-1.9919000000000002,True,False,['C#CC(O)(O)C#CC#CC(C)(O)O'],False,Geminal diol/triol
OC(OC(C#C)(C)C#CC#C)(O)O,180.042258736,4,3,-1.3802999999999999,True,False,"['[3*]OC(O)(O)O', '[4*]C(C)(C#C)C#CC#C']",False,Geminal diol/triol
CC(OC(C#C)(O)C#CC#C)(O)O,180.042258736,4,3,-1.3803,True,False,"['[3*]O[3*]', '[4*]C(O)(C#C)C#CC#C', '[4*]C(C)(O)O']",False,Geminal diol/triol
OC(CC(C#C)(O)C#CC#C)(O)O,180.042258736,4,4,-1.9918999999999998,True,False,['C#CC#CC(O)(C#C)CC(O)(O)O'],False,Geminal diol/triol
O=C=C(C(C#C)(O)C)C(C#C)(O)O,180.042258736,4,3,-1.5573,True,False,['C#CC(C)(O)C(=C=O)C(O)(O)C#C'],False,Geminal diol/triol
C=C=C(C(C#C)(O)O)C(C#C)(O)O,180.042258736,4,4,-1.6741000000000001,True,False,['C#CC(O)(O)C(=C=C)C(O)(O)C#C'],False,"Allene, Geminal diol/triol"
C#CC(C(C#C)(O)O)C(C#C)(O)O,180.042258736,4,4,-2.136,True,False,['C#CC(C(O)(O)C#C)C(O)(O)C#C'],False,Geminal diol/triol
CC(C#C)(O)OC#CC(C#C)(O)O,180.042258736,4,3,-1.3803,True,False,"['[3*]OC#CC(O)(O)C#C', '[4*]C(C)(O)C#C']",False,Geminal diol/triol
CC(C#C)(O)C#COC(C#C)(O)O,180.042258736,4,3,-1.3803,True,False,"['[3*]OC#CC(C)(O)C#C', '[4*]C(O)(O)C#C']",False,Geminal diol/triol
OC(C#C)(O)C=C=CC(C#C)(O)O,180.042258736,4,4,-1.6741000000000001,True,False,['C#CC(O)(O)C=C=CC(O)(O)C#C'],False,"Allene, Geminal diol/triol"
OC(C#C)(O)CC#CC(C#C)(O)O,180.042258736,4,4,-1.9918999999999998,True,False,['C#CC(O)(O)C#CCC(O)(O)C#C'],False,Geminal diol/triol
C#COC(C#CC(C#C)(O)C)(O)O,180.042258736,4,3,-1.3803000000000003,True,False,"['[4*]C(O)(O)C#CC(C)(O)C#C', '[3*]OC#C']",False,Geminal diol/triol
O=C=CC(C#CC(C#C)(O)C)(O)O,180.042258736,4,3,-1.5573,True,False,['C#CC(C)(O)C#CC(O)(O)C=C=O'],False,Geminal diol/triol
OC#CC(C#CC(C#C)(O)C)(O)O,180.042258736,4,4,-1.6117000000000001,True,False,['C#CC(C)(O)C#CC(O)(O)C#CO'],False,Geminal diol/triol
C#COC(C#CC(C#C)(O)O)(O)C,180.042258736,4,3,-1.3803000000000003,True,False,"['[4*]C(C)(O)C#CC(O)(O)C#C', '[3*]OC#C']",False,Geminal diol/triol
O=C=CC(C#CC(C#C)(O)O)(O)C,180.042258736,4,3,-1.5573000000000004,True,False,['C#CC(O)(O)C#CC(C)(O)C=C=O'],False,Geminal diol/triol
OC#CC(C#CC(C#C)(O)O)(O)C,180.042258736,4,4,-1.6117000000000001,True,False,['C#CC(O)(O)C#CC(C)(O)C#CO'],False,Geminal diol/triol
C=C=CC(C#CC(C#C)(O)O)(O)O,180.042258736,4,4,-1.6741000000000004,True,False,['C#CC(O)(O)C#CC(O)(O)C=C=C'],False,"Allene, Geminal diol/triol"
C#CCC(C#CC(C#C)(O)O)(O)O,180.042258736,4,4,-1.9919000000000002,True,False,['C#CCC(O)(O)C#CC(O)(O)C#C'],False,Geminal diol/triol
CC#CC(C#CC(C#C)(O)O)(O)O,180.042258736,4,4,-1.9919000000000002,True,False,['C#CC(O)(O)C#CC(O)(O)C#CC'],False,Geminal diol/triol
C#COC(C#C)(C)OC(C#C)(O)O,180.042258736,4,2,-0.7687000000000002,True,False,"['[4*]C(O)(O)C#C', '[4*]C([4*])(C)C#C', '[3*]OC#C', '[3*]O[3*]']",False,Geminal diol/triol
O=C=CC(C#C)(C)OC(C#C)(O)O,180.042258736,4,2,-0.9457000000000002,True,False,"['[4*]C(C)(C#C)C=C=O', '[4*]C(O)(O)C#C', '[3*]O[3*]']",False,Geminal diol/triol
OC#CC(C#C)(C)OC(C#C)(O)O,180.042258736,4,3,-1.0001000000000002,True,False,"['[4*]C(C)(C#C)C#CO', '[4*]C(O)(O)C#C', '[3*]O[3*]']",False,Geminal diol/triol
C#COC(C#C)(O)OC(C#C)(O)C,180.042258736,4,2,-0.7687000000000002,True,False,"['[4*]C(C)(O)C#C', '[4*]C([4*])(O)C#C', '[3*]OC#C', '[3*]O[3*]']",False,Geminal diol/triol
O=C=CC(C#C)(O)OC(C#C)(O)C,180.042258736,4,2,-0.9457000000000004,True,False,"['[4*]C(O)(C#C)C=C=O', '[4*]C(C)(O)C#C', '[3*]O[3*]']",False,Geminal diol/triol
OC#CC(C#C)(O)OC(C#C)(O)C,180.042258736,4,3,-1.0001000000000002,True,False,"['[4*]C(C)(O)C#C', '[4*]C(O)(C#C)C#CO', '[3*]O[3*]']",False,Geminal diol/triol
C#COC(C#C)(O)CC(C#C)(O)O,180.042258736,4,3,-1.3803,True,False,"['[4*]C(O)(C#C)CC(O)(O)C#C', '[3*]OC#C']",False,Geminal diol/triol
O=C=CC(C#C)(O)CC(C#C)(O)O,180.042258736,4,3,-1.5573,True,False,['C#CC(O)(O)CC(O)(C#C)C=C=O'],False,Geminal diol/triol
OC#CC(C#C)(O)CC(C#C)(O)O,180.042258736,4,4,-1.6117000000000001,True,False,['C#CC(O)(O)CC(O)(C#C)C#CO'],False,Geminal diol/triol
C=C=CC(C#C)(O)OC(C#C)(O)O,180.042258736,4,3,-1.0625000000000002,True,False,"['[4*]C(O)(C#C)C=C=C', '[4*]C(O)(O)C#C', '[3*]O[3*]']",False,"Allene, Geminal diol/triol"
C#CCC(C#C)(O)OC(C#C)(O)O,180.042258736,4,3,-1.3803,True,False,"['[4*]C(O)(C#C)CC#C', '[4*]C(O)(O)C#C', '[3*]O[3*]']",False,Geminal diol/triol
CC#CC(C#C)(O)OC(C#C)(O)O,180.042258736,4,3,-1.3803,True,False,"['[4*]C(O)(C#C)C#CC', '[4*]C(O)(O)C#C', '[3*]O[3*]']",False,Geminal diol/triol
C#COC(C#C)(C)C#CC(O)(O)O,180.042258736,4,3,-1.3803000000000003,True,False,"['[4*]C(C)(C#C)C#CC(O)(O)O', '[3*]OC#C']",False,Geminal diol/triol
O=C=CC(C#C)(C)C#CC(O)(O)O,180.042258736,4,3,-1.3522,True,False,['C#CC(C)(C#CC(O)(O)O)C=C=O'],False,Geminal diol/triol
OC#CC(C#C)(C)C#CC(O)(O)O,180.042258736,4,4,-1.4066000000000003,True,False,['C#CC(C)(C#CO)C#CC(O)(O)O'],False,Geminal diol/triol
C#COC(C#C)(O)C#CC(C)(O)O,180.042258736,4,3,-1.3803000000000003,True,False,"['[4*]C(O)(C#C)C#CC(C)(O)O', '[3*]OC#C']",False,Geminal diol/triol
O=C=CC(C#C)(O)C#CC(C)(O)O,180.042258736,4,3,-1.5573000000000004,True,False,['C#CC(O)(C#CC(C)(O)O)C=C=O'],False,Geminal diol/triol
OC#CC(C#C)(O)C#CC(C)(O)O,180.042258736,4,4,-1.6117000000000001,True,False,['C#CC(O)(C#CO)C#CC(C)(O)O'],False,Geminal diol/triol
C=C=CC(C#C)(O)C#CC(O)(O)O,180.042258736,4,4,-1.6741000000000004,True,False,['C#CC(O)(C#CC(O)(O)O)C=C=C'],False,"Allene, Geminal diol/triol"
C#CCC(C#C)(O)C#CC(O)(O)O,180.042258736,4,4,-1.9919000000000002,True,False,['C#CCC(O)(C#C)C#CC(O)(O)O'],False,Geminal diol/triol
CC#CC(C#C)(O)C#CC(O)(O)O,180.042258736,4,4,-1.9919000000000002,True,False,['C#CC(O)(C#CC)C#CC(O)(O)O'],False,Geminal diol/triol
O=C=C(C(O)(O)O)C(C#C)(C)C#C,180.042258736,4,3,-1.3522,True,False,['C#CC(C)(C#C)C(=C=O)C(O)(O)O'],False,Geminal diol/triol
O=C=C(C(C)(O)O)C(C#C)(O)C#C,180.042258736,4,3,-1.5573,True,False,['C#CC(O)(C#C)C(=C=O)C(C)(O)O'],False,Geminal diol/triol
C=C=C(C(O)(O)O)C(C#C)(O)C#C,180.042258736,4,4,-1.6741000000000001,True,False,['C#CC(O)(C#C)C(=C=C)C(O)(O)O'],False,"Allene, Geminal diol/triol"
C#CC(C(O)(O)O)C(C#C)(O)C#C,180.042258736,4,4,-2.136,True,False,['C#CC(C(O)(O)O)C(O)(C#C)C#C'],False,Geminal diol/triol
OC(OC#CC(C#C)(C)C#C)(O)O,180.042258736,4,3,-1.1752,True,False,['C#CC(C)(C#C)C#COC(O)(O)O'],False,Geminal diol/triol
OC(C#COC(C#C)(C)C#C)(O)O,180.042258736,4,3,-1.3802999999999999,True,False,"['[3*]OC#CC(O)(O)O', '[4*]C(C)(C#C)C#C']",False,Geminal diol/triol
CC(OC#CC(C#C)(O)C#C)(O)O,180.042258736,4,3,-1.3803,True,False,"['[3*]OC#CC(O)(C#C)C#C', '[4*]C(C)(O)O']",False,Geminal diol/triol
CC(C#COC(C#C)(O)C#C)(O)O,180.042258736,4,3,-1.3803,True,False,"['[3*]OC#CC(C)(O)O', '[4*]C(O)(C#C)C#C']",False,Geminal diol/triol
OC(C=C=CC(C#C)(O)C#C)(O)O,180.042258736,4,4,-1.6741000000000001,True,False,['C#CC(O)(C#C)C=C=CC(O)(O)O'],False,"Allene, Geminal diol/triol"
OC(CC#CC(C#C)(O)C#C)(O)O,180.042258736,4,4,-1.9919000000000002,True,False,['C#CC(O)(C#C)C#CCC(O)(O)O'],False,Geminal diol/triol
OC(C#CCC(C#C)(O)C#C)(O)O,180.042258736,4,4,-1.9919000000000002,True,False,['C#CC(O)(C#C)CC#CC(O)(O)O'],False,Geminal diol/triol
C#COC(OC(C#C)(C)C#C)(O)O,180.042258736,4,2,-0.7687000000000002,True,False,"['[3*]OC(O)(O)OC#C', '[4*]C(C)(C#C)C#C']",False,Geminal diol/triol
O=C=CC(OC(C#C)(C)C#C)(O)O,180.042258736,4,2,-0.9457,True,False,"['[4*]C(O)(O)C=C=O', '[4*]C(C)(C#C)C#C', '[3*]O[3*]']",False,Geminal diol/triol
OC#CC(OC(C#C)(C)C#C)(O)O,180.042258736,4,3,-1.0000999999999998,True,False,"['[4*]C(O)(O)C#CO', '[4*]C(C)(C#C)C#C', '[3*]O[3*]']",False,Geminal diol/triol
C#COC(OC(C#C)(O)C#C)(O)C,180.042258736,4,2,-0.7686999999999999,True,False,"['[4*]C([4*])(C)O', '[3*]O[3*]', '[3*]OC#C', '[4*]C(O)(C#C)C#C']",False,Geminal diol/triol
O=C=CC(OC(C#C)(O)C#C)(O)C,180.042258736,4,2,-0.9457,True,False,"['[3*]O[3*]', '[4*]C(C)(O)C=C=O', '[4*]C(O)(C#C)C#C']",False,Geminal diol/triol
OC#CC(OC(C#C)(O)C#C)(O)C,180.042258736,4,3,-1.0000999999999998,True,False,"['[3*]O[3*]', '[4*]C(C)(O)C#CO', '[4*]C(O)(C#C)C#C']",False,Geminal diol/triol
C#COC(CC(C#C)(O)C#C)(O)O,180.042258736,4,3,-1.3803,True,False,"['[4*]C(O)(O)CC(O)(C#C)C#C', '[3*]OC#C']",False,Geminal diol/triol
O=C=CC(CC(C#C)(O)C#C)(O)O,180.042258736,4,3,-1.5573,True,False,['C#CC(O)(C#C)CC(O)(O)C=C=O'],False,Geminal diol/triol
OC#CC(CC(C#C)(O)C#C)(O)O,180.042258736,4,4,-1.6117000000000001,True,False,['C#CC(O)(C#C)CC(O)(O)C#CO'],False,Geminal diol/triol
C=C=CC(OC(C#C)(O)C#C)(O)O,180.042258736,4,3,-1.0625000000000002,True,False,"['[3*]O[3*]', '[4*]C(O)(O)C=C=C', '[4*]C(O)(C#C)C#C']",False,"Allene, Geminal diol/triol"
C#CCC(OC(C#C)(O)C#C)(O)O,180.042258736,4,3,-1.3803,True,False,"['[3*]O[3*]', '[4*]C(O)(O)CC#C', '[4*]C(O)(C#C)C#C']",False,Geminal diol/triol
CC#CC(OC(C#C)(O)C#C)(O)O,180.042258736,4,3,-1.3803,True,False,"['[3*]O[3*]', '[4*]C(O)(O)C#CC', '[4*]C(O)(C#C)C#C']",False,Geminal diol/triol
C#COC(C#C)(C#C)OC(C)(O)O,180.042258736,4,2,-0.7687000000000002,True,False,"['[3*]O[3*]', '[4*]C([4*])(C#C)C#C', '[3*]OC#C', '[4*]C(C)(O)O']",False,Geminal diol/triol
O=C=CC(C#C)(C#C)OC(C)(O)O,180.042258736,4,2,-0.9457000000000004,True,False,"['[3*]O[3*]', '[4*]C(C)(O)O', '[4*]C(C#C)(C#C)C=C=O']",False,Geminal diol/triol
OC#CC(C#C)(C#C)OC(C)(O)O,180.042258736,4,3,-1.0001000000000002,True,False,"['[3*]O[3*]', '[4*]C(C#C)(C#C)C#CO', '[4*]C(C)(O)O']",False,Geminal diol/triol
C#COC(C#C)(C#C)CC(O)(O)O,180.042258736,4,3,-1.3803000000000003,True,False,"['[4*]C(C#C)(C#C)CC(O)(O)O', '[3*]OC#C']",False,Geminal diol/triol
O=C=CC(C#C)(C#C)CC(O)(O)O,180.042258736,4,3,-1.3522,True,False,['C#CC(C#C)(C=C=O)CC(O)(O)O'],False,Geminal diol/triol
OC#CC(C#C)(C#C)CC(O)(O)O,180.042258736,4,4,-1.4066000000000003,True,False,['C#CC(C#C)(C#CO)CC(O)(O)O'],False,Geminal diol/triol
